#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
485290 1368690 350 3.8e-228  0 0 0 0 1.4e-60 7.5e-12 4.7e-09 1e+02 
485290 1370190 350 2.7e-221  0 0 0 0 1e-58 3.3e-11 1.3e-08 1e+02 
485290 1371690 350 1.3e-214  0 0 0 0 4.4e-57 1.3e-10 3.3e-08 1e+02 
485290 1373190 350 4.5e-208  0 0 0 0 1.2e-55 4.5e-10 8.1e-08 1e+02 
485290 1374690 350 1.1e-201  0 0 0 0 1.9e-54 1.4e-09 1.9e-07 1e+02 
485290 1376190 350 1.7e-195  0 0 0 0 2e-53 3.8e-09 4.4e-07 1e+02 
485290 1377690 350 1.8e-189  0 0 0 0 1.3e-52 9.6e-09 9.7e-07 1e+02 
485290 1379190 350 1.3e-183  0 0 0 0 5.1e-52 2.2e-08 2.1e-06 1e+02 
485290 1380690 350 6.4e-178  0 0 0 0 1.3e-51 4.6e-08 4.3e-06 1e+02 
485290 1382190 350 2.1e-172  0 0 0 0 2.1e-51 8.6e-08 8.5e-06 1e+02 
485290 1383690 350 4.6e-167  0 0 0 0 2.1e-51 1.5e-07 1.6e-05 1e+02 
485290 1385190 350 6.8e-162  0 0 0 2.9e-160 1.4e-51 2.3e-07 3e-05 1e+02 
485290 1386690 350 6.7e-157  0 0 0 1.4e-161 5.5e-52 3.3e-07 5.5e-05 1e+02 
485290 1388190 350 4.5e-152  0 0 0 2.5e-163 1.4e-52 4.3e-07 9.6e-05 1e+02 
485290 1389690 350 2e-147  0 0 0 1.6e-165 2.2e-53 5.1e-07 0.00016 1e+02 
485290 1391190 350 6.1e-143  0 0 0 3.4e-168 2.2e-54 5.4e-07 0.00027 1e+02 
485290 1392690 350 1.3e-138  0 0 0 2.5e-171 1.4e-55 5.2e-07 0.00044 1e+02 
485290 1394190 350 1.8e-134  0 0 0 6.3e-175 5.2e-57 4.4e-07 0.00071 1e+02 
485290 1395690 350 1.8e-130  0 0 0 5.4e-179 1.2e-58 3.3e-07 0.0011 1e+02 
485290 1397190 350 1.3e-126  0 0 0 1.5e-183 1.7e-60 2.1e-07 0.0017 1e+02 
485290 1398690 350 6.6e-123  0 0 0 1.4e-188 1.4e-62 1.2e-07 0.0024 1e+02 
