#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
485290 1421190 350 2.4e-69  0 0 0 0 5.7e-173 1.9e-52 8.7e-06 1e+02 
485290 1422690 350 6.9e-73  0 0 0 0 3.9e-180 1.9e-55 1e-06 1e+02 
485290 1424190 350 1.7e-76  0 0 0 0 1.3e-187 1.4e-58 1e-07 1e+02 
485290 1425690 350 3.6e-80  0 0 0 0 2.2e-195 7.4e-62 8.8e-09 1e+02 
485290 1427190 350 6.6e-84  0 0 0 0 1.8e-203 2.8e-65 6.5e-10 1e+02 
485290 1428690 350 1.1e-87  0 0 0 0 7.1e-212 7.4e-69 4.1e-11 1e+02 
485290 1430190 350 1.5e-91  0 0 0 0 1.3e-220 1.3e-72 2.1e-12 1e+02 
485290 1431690 350 2.1e-95  0 0 0 0 0 1.6e-76 8.4e-14 1e+02 
486790 1332690 350 2e-23  0 0 0 0 5.9e-239 5.2e-85 1.1e-16 1e+02 
486790 1334190 350 1.2e-21  0 0 0 0 1.9e-229 7.8e-81 2.3e-15 1e+02 
486790 1335690 350 6.6e-20  0 0 0 0 2.8e-220 8.1e-77 3.9e-14 1e+02 
486790 1337190 350 3.1e-18  0 0 0 0 2.1e-211 6e-73 6e-13 1e+02 
486790 1338690 350 1.3e-16  0 0 0 0 7.8e-203 3.2e-69 8e-12 1e+02 
486790 1340190 350 4.4e-15  0 0 0 0 1.4e-194 1.2e-65 9.2e-11 1e+02 
486790 1341690 350 1.3e-13  0 0 0 0 1.2e-186 3.2e-62 9.1e-10 1e+02 
486790 1343190 350 3.7e-12  0 0 0 0 5.2e-179 5.9e-59 7.6e-09 1e+02 
486790 1344690 350 8.9e-11  0 0 0 0 1e-171 7.4e-56 5.3e-08 1e+02 
486790 1346190 350 1.9e-09  0 0 0 0 1e-164 6.6e-53 3.2e-07 1e+02 
486790 1347690 350 3.4e-08  0 0 0 0 4.8e-158 4.2e-50 1.7e-06 1e+02 
486790 1349190 350 5.2e-07  0 0 0 0 1.2e-151 2e-47 8.2e-06 1e+02 
486790 1350690 350 6.4e-06  0 0 0 0 1.4e-145 6.9e-45 3.7e-05 1e+02 
486790 1352190 350 6.6e-05  0 0 0 2e-311 9.4e-140 1.8e-42 0.00015 1e+02 
486790 1353690 350 0.00054  0 0 0 1e-300 3.2e-134 3.7e-40 0.00058 1e+02 
486790 1355190 350 0.0036  0 0 0 1.5e-290 5.6e-129 5.5e-38 0.002 1e+02 
486790 1356690 350 0.02  0 0 0 6.5e-281 5.2e-124 6.4e-36 0.0068 1e+02 
486790 1358190 350 0.083  0 0 0 8.3e-272 2.6e-119 5.8e-34 0.021 1e+02 
486790 1359690 350 0.27  0 0 0 3.2e-263 7.1e-115 4.2e-32 0.063 1e+02 
486790 1361190 350 0.69  0 0 0 3.8e-255 1.1e-110 2.4e-30 0.18 1e+02 
486790 1362690 350 1.3  0 0 0 1.4e-247 9.1e-107 1.1e-28 0.49 1e+02 
486790 1364190 350 1.9  0 0 0 1.5e-240 4.3e-103 4.3e-27 1.3 99 
486790 1365690 350 2.1  0 0 0 5.3e-234 1.1e-99 1.3e-25 3.4 97 
486790 1367190 350 1.9  0 0 0 5.3e-228 1.6e-96 3.1e-24 8 92 
486790 1368690 350 1.4  0 0 0 1.4e-222 1.1e-93 5.1e-23 16 84 
486790 1370190 350 0.99  0 0 0 1e-217 3.5e-91 5.8e-22 27 73 
486790 1371690 350 0.62  0 0 0 1.8e-213 5.2e-89 4.4e-21 36 64 
486790 1373190 350 0.32  0 0 0 9.1e-210 3.9e-87 2.5e-20 44 56 
486790 1374690 350 0.14  0 0 0 1.3e-206 1.6e-85 1.1e-19 49 51 
486790 1376190 350 0.044  0 0 0 5.9e-204 3.5e-84 3.6e-19 54 46 
486790 1377690 350 0.011  0 0 0 8e-202 4.2e-83 1e-18 57 43 
486790 1379190 350 0.0021  0 0 0 3.3e-200 2.8e-82 2.2e-18 60 40 
486790 1380690 350 0.0003  0 0 0 4.3e-199 1.1e-81 3.9e-18 63 37 
486790 1382190 350 3.2e-05  0 0 0 1.7e-198 2.3e-81 5.7e-18 65 35 
486790 1383690 350 2.6e-06  0 0 0 2.1e-198 2.7e-81 6.6e-18 66 34 
486790 1385190 350 1.6e-07  0 0 0 8e-199 1.8e-81 6.4e-18 67 33 
486790 1386690 350 7.5e-09  0 0 0 9.5e-200 6.9e-82 5e-18 67 33 
486790 1388190 350 2.6e-10  0 0 0 3.5e-201 1.5e-82 3.2e-18 67 33 
486790 1389690 350 6.6e-12  0 0 0 4.1e-203 1.8e-83 1.7e-18 67 33 
486790 1391190 350 1.3e-13  0 0 0 1.5e-205 1.2e-84 7.1e-19 66 34 
486790 1392690 350 1.8e-15  0 0 0 1.7e-208 4.8e-86 2.5e-19 64 36 
486790 1394190 350 2e-17  0 0 0 5.9e-212 1.1e-87 7.2e-20 61 39 
486790 1395690 350 1.6e-19  0 0 0 6.5e-216 1.3e-89 1.7e-20 58 42 
486790 1397190 350 1e-21  0 0 0 2.2e-220 9.1e-92 3.2e-21 53 47 
486790 1398690 350 4.6e-24  0 0 0 2.3e-225 3.6e-94 4.9e-22 48 52 
486790 1400190 350 1.7e-26  0 0 0 7.4e-231 7.7e-97 6.1e-23 42 58 
486790 1401690 350 4.5e-29  0 0 0 7.2e-237 9.1e-100 6e-24 35 65 
486790 1403190 350 9.7e-32  0 0 0 2.1e-243 5.9e-103 4.6e-25 28 72 
486790 1404690 350 1.6e-34  0 0 0 1.8e-250 2e-106 2.8e-26 20 80 
486790 1406190 350 2.2e-37  0 0 0 4.5e-258 3.7e-110 1.3e-27 14 86 
486790 1407690 350 2.5e-40  0 0 0 3.2e-266 3.4e-114 4.3e-29 8.3 92 
486790 1409190 350 2.4e-43  0 0 0 6.2e-275 1.6e-118 1.1e-30 4.5 96 
486790 1410690 350 1.9e-46  0 0 0 0 3.8e-123 1.9e-32 2.1 98 
486790 1412190 350 1.3e-49  0 0 0 0 4.3e-128 2.5e-34 0.82 99 
486790 1413690 350 7.8e-53  0 0 0 0 2.5e-133 2.3e-36 0.28 1e+02 
486790 1415190 350 3.9e-56  0 0 0 0 7.1e-139 1.5e-38 0.085 1e+02 
486790 1416690 350 1.6e-59  0 0 0 0 1e-144 7.6e-41 0.023 1e+02 
486790 1418190 350 5.8e-63  0 0 0 0 7.5e-151 2.7e-43 0.0052 1e+02 
486790 1419690 350 1.8e-66  0 0 0 0 2.6e-157 6.8e-46 0.001 1e+02 
486790 1421190 350 4.9e-70  0 0 0 0 4.4e-164 1.2e-48 0.00017 1e+02 
486790 1422690 350 1.2e-73  0 0 0 0 3.5e-171 1.4e-51 2.2e-05 1e+02 
486790 1424190 350 2.8e-77  0 0 0 0 1.3e-178 1.1e-54 2.4e-06 1e+02 
486790 1425690 350 5.5e-81  0 0 0 0 2.3e-186 6.3e-58 2.2e-07 1e+02 
486790 1427190 350 9.4e-85  0 0 0 0 2e-194 2.5e-61 1.8e-08 1e+02 
486790 1428690 350 1.4e-88  0 0 0 0 8.5e-203 7.2e-65 1.2e-09 1e+02 
486790 1430190 350 1.8e-92  0 0 0 0 1.8e-211 1.4e-68 6.8e-11 1e+02 
486790 1431690 350 2.1e-96  0 0 0 0 1.7e-220 1.9e-72 3.1e-12 1e+02 
488290 1332690 350 1.3e-24  0 0 0 0 5.9e-230 6.1e-81 2.5e-15 1e+02 
488290 1334190 350 8.9e-23  0 0 0 0 1.7e-220 8.2e-77 4.6e-14 1e+02 
