#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
596640 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
597445 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
598255 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
599070 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
599890 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
600715 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
601545 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
602380 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
603220 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
604065 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
604915 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
605770 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
606630 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
607495 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
608365 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
609240 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
610120 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
611005 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
611895 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
612790 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
613690 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
614595 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
615505 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
616420 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
617340 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
618265 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
619195 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
620130 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
621070 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
622015 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
622965 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
623920 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
624880 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
625845 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
626815 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
627790 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
628770 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
629755 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
630745 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
631740 1382690 300 0  -nan -nan -nan -nan -nan -nan -nan -nan 
532315 1382692 300 0.084  87 12 0.46 0.0036 1.7e-06 4.2e-15 9.7e-31 9.7e-60 
532345 1382695 300 0.061  87 12 0.45 0.0036 1.7e-06 4.1e-15 9.4e-31 9.4e-60 
532380 1382698 300 0.041  87 12 0.44 0.0035 1.7e-06 4e-15 9.2e-31 9.2e-60 
532420 1382701 300 0.026  87 12 0.44 0.0035 1.6e-06 4e-15 9.1e-31 9.1e-60 
532464 1382705 300 0.016  87 12 0.44 0.0035 1.6e-06 4e-15 9.1e-31 9.1e-60 
532514 1382710 300 0.0087  88 12 0.44 0.0035 1.6e-06 4e-15 9.3e-31 9.3e-60 
532569 1382714 300 0.0044  88 12 0.44 0.0035 1.7e-06 4.1e-15 9.6e-31 9.7e-60 
532629 1382720 300 0.002  88 12 0.44 0.0036 1.7e-06 4.3e-15 1e-30 1e-59 
532693 1382725 300 0.00088  88 12 0.45 0.0038 1.8e-06 4.7e-15 1.1e-30 1.1e-59 
532763 1382731 300 0.00034  88 12 0.46 0.004 1.9e-06 5.2e-15 1.2e-30 1.3e-59 
532838 1382738 300 0.00012  88 12 0.47 0.0042 2.1e-06 5.8e-15 1.4e-30 1.5e-59 
532918 1382745 300 3.9e-05  88 11 0.48 0.0045 2.3e-06 6.7e-15 1.7e-30 1.8e-59 
533002 1382752 300 1.2e-05  89 11 0.47 0.0046 2.5e-06 7.6e-15 2e-30 2.2e-59 
533092 1382760 300 3.5e-06  91 9.1 0.43 0.0045 2.5e-06 8.4e-15 2.3e-30 2.6e-59 
533187 1382768 300 1e-06  93 7 0.35 0.004 2.4e-06 8.6e-15 2.5e-30 2.9e-59 
533286 1382777 300 3e-07  95 4.7 0.25 0.0031 2e-06 8e-15 2.5e-30 2.9e-59 
533391 1382786 300 9.1e-08  97 2.8 0.15 0.0021 1.4e-06 6.6e-15 2.2e-30 2.7e-59 
533500 1382796 300 2.8e-08  98 1.5 0.077 0.0012 9.4e-07 4.9e-15 1.8e-30 2.3e-59 
533615 1382806 300 8.7e-09  99 0.86 0.035 0.00065 5.5e-07 3.4e-15 1.4e-30 1.9e-59 
533734 1382816 300 2.6e-09  99 0.55 0.014 0.00031 3e-07 2.2e-15 1e-30 1.5e-59 
533859 1382827 300 7.2e-10  1e+02 0.42 0.0054 0.00014 1.5e-07 1.4e-15 7.3e-31 1.2e-59 
533989 1382839 300 1.9e-10  1e+02 0.35 0.0019 5.7e-05 7.3e-08 8.6e-16 5.2e-31 8.9e-60 
534123 1382850 300 4.5e-11  1e+02 0.32 0.00065 2.2e-05 3.4e-08 5.2e-16 3.7e-31 7e-60 
534262 1382863 300 1e-11  1e+02 0.3 0.00023 7.7e-06 1.4e-08 3e-16 2.6e-31 5.5e-60 
534407 1382875 300 2.1e-12  1e+02 0.29 9.7e-05 2.5e-06 5.9e-09 1.7e-16 1.8e-31 4.3e-60 
534556 1382888 300 3.9e-13  1e+02 0.29 5.6e-05 7.8e-07 2.3e-09 9.7e-17 1.3e-31 3.5e-60 
534711 1382902 300 6.6e-14  1e+02 0.28 4.2e-05 2.2e-07 8.2e-10 5.3e-17 9.1e-32 2.9e-60 
534870 1382916 300 1e-14  1e+02 0.29 3.8e-05 6e-08 2.8e-10 2.9e-17 6.5e-32 2.4e-60 
535035 1382930 300 1.4e-15  1e+02 0.29 3.7e-05 1.5e-08 9.2e-11 1.5e-17 4.7e-32 2.1e-60 
535204 1382945 300 1.8e-16  1e+02 0.3 3.8e-05 3.8e-09 2.8e-11 7.9e-18 3.5e-32 1.9e-60 
535378 1382960 300 2e-17  1e+02 0.31 4e-05 9.7e-10 8.2e-12 4e-18 2.6e-32 1.7e-60 
535558 1382976 300 2e-18  1e+02 0.33 4.4e-05 3.1e-10 2.2e-12 2e-18 2e-32 1.7e-60 
535742 1382992 300 1.7e-19  1e+02 0.36 4.9e-05 1.6e-10 5.8e-13 1e-18 1.5e-32 1.7e-60 
535931 1383009 300 1.3e-20  1e+02 0.39 5.7e-05 1.4e-10 1.5e-13 5e-19 1.2e-32 1.8e-60 
536125 1383026 300 8.9e-22  1e+02 0.43 6.9e-05 1.5e-10 3.5e-14 2.4e-19 9.9e-33 1.9e-60 
536325 1383043 300 5.1e-23  1e+02 0.48 8.6e-05 1.9e-10 8e-15 1.2e-19 8.3e-33 2.3e-60 
