#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
534711 1382902 300 1.7e-07  74 24 2 0.044 1.8e-05 3.3e-13 3.6e-22 2.2e-39 
534870 1382916 300 4.2e-08  72 26 2.2 0.054 2.4e-05 2.4e-13 2.4e-22 1.7e-39 
535035 1382930 300 9.7e-09  70 27 2.6 0.069 3.4e-05 2.5e-13 1.6e-22 1.4e-39 
535204 1382945 300 2.1e-09  68 29 3 0.09 5e-05 3.2e-13 1.1e-22 1.1e-39 
535378 1382960 300 4e-10  65 31 3.5 0.12 7.7e-05 5.1e-13 7.4e-23 9.5e-40 
535558 1382976 300 7.1e-11  62 33 4.2 0.17 0.00012 8.7e-13 5.1e-23 8.2e-40 
535742 1382992 300 1.1e-11  59 36 5.1 0.24 0.0002 1.6e-12 3.5e-23 7.3e-40 
535931 1383009 300 1.7e-12  54 39 6.3 0.35 0.00035 3.1e-12 2.4e-23 6.6e-40 
536125 1383026 300 2.2e-13  50 42 7.9 0.54 0.00063 6.3e-12 1.7e-23 6.2e-40 
536325 1383043 300 2.6e-14  44 45 9.9 0.84 0.0012 1.4e-11 1.2e-23 5.9e-40 
536529 1383061 300 2.8e-15  39 47 12 1.3 0.0023 3.1e-11 8.1e-24 5.8e-40 
536738 1383079 300 2.8e-16  33 49 16 2.2 0.0045 7.3e-11 5.6e-24 5.8e-40 
536952 1383098 300 2.6e-17  26 50 20 3.6 0.0093 1.8e-10 3.9e-24 5.8e-40 
537171 1383117 300 2.1e-18  20 50 24 6 0.019 4.6e-10 3e-24 5.9e-40 
537395 1383137 300 1.6e-19  15 47 29 10 0.041 1.2e-09 3.1e-24 6e-40 
537625 1383157 300 1.2e-20  9.6 41 33 16 0.085 3.1e-09 5.6e-24 5.9e-40 
537859 1383177 300 8.2e-22  5.7 34 35 26 0.17 8.1e-09 1.5e-23 5.6e-40 
538098 1383198 300 5.6e-23  2.9 25 34 38 0.33 2e-08 4.3e-23 4.9e-40 
538342 1383219 300 3.7e-24  1.3 16 30 53 0.59 4.8e-08 1.2e-22 4e-40 
538591 1383241 300 2.5e-25  0.5 9 23 66 0.97 1.1e-07 3.3e-22 3e-40 
538845 1383263 300 1.7e-26  0.16 4.4 16 78 1.5 2.3e-07 8.7e-22 2.1e-40 
539104 1383286 300 1.1e-27  0.044 1.9 10 86 2.2 4.8e-07 2.3e-21 1.3e-40 
539368 1383309 300 6.8e-29  0.011 0.77 6 90 3.1 9.7e-07 5.8e-21 8.2e-41 
539637 1383333 300 4e-30  0.0022 0.28 3.3 92 4.2 2e-06 1.5e-20 4.8e-41 
539911 1383357 300 2.2e-31  0.00042 0.092 1.7 92 5.7 4e-06 4e-20 2.8e-41 
540190 1383381 300 1.1e-32  6.8e-05 0.028 0.87 92 7.6 8.2e-06 1.1e-19 1.6e-41 
540474 1383406 300 5e-34  9.9e-06 0.0078 0.41 90 10 1.7e-05 3.1e-19 8.5e-42 
540763 1383431 300 2.1e-35  1.3e-06 0.002 0.18 87 13 3.6e-05 9.1e-19 4.6e-42 
541057 1383457 300 8.3e-37  1.4e-07 0.00046 0.078 83 17 7.8e-05 2.7e-18 2.4e-42 
541355 1383483 300 3e-38  1.3e-08 9.7e-05 0.031 78 22 0.00017 8.5e-18 1.2e-42 
541659 1383510 300 9.9e-40  1.1e-09 1.8e-05 0.012 72 28 0.00037 2.7e-17 6.1e-43 
541968 1383537 300 3e-41  7.5e-11 3e-06 0.0041 65 35 0.00082 8.9e-17 3.1e-43 
542282 1383564 300 8.4e-43  4.3e-12 4.4e-07 0.0013 57 43 0.0018 3e-16 2e-43 
542601 1383592 300 2.2e-44  2.1e-13 5.7e-08 0.00038 48 52 0.004 1e-15 3.5e-43 
542924 1383620 300 5.4e-46  8.1e-15 6.3e-09 0.0001 39 61 0.0087 3.5e-15 1.3e-42 
543253 1383649 300 1.2e-47  2.6e-16 6e-10 2.4e-05 30 70 0.019 1.2e-14 5.4e-42 
543587 1383678 300 2.6e-49  6.5e-18 4.8e-11 5e-06 22 78 0.04 4.3e-14 2.4e-41 
543926 1383708 300 5.3e-51  1.3e-19 3.2e-12 9.3e-07 15 85 0.082 1.5e-13 1.1e-40 
544269 1383738 300 1e-52  2e-21 1.8e-13 1.5e-07 9.4 90 0.16 5.2e-13 4.7e-40 
544618 1383769 300 1.8e-54  2.5e-23 8.1e-15 2.1e-08 5.6 94 0.32 1.8e-12 2.2e-39 
544972 1383799 300 3.1e-56  2.3e-25 3e-16 2.6e-09 3.1 96 0.6 6.2e-12 9.9e-39 
545330 1383831 300 4.9e-58  1.6e-27 9.3e-18 2.8e-10 1.5 97 1.1 2.1e-11 4.5e-38 
545694 1383863 300 7.4e-60  8.5e-30 2.3e-19 2.5e-11 0.72 97 1.9 7.1e-11 2.1e-37 
546062 1383895 300 1.1e-61  3.4e-32 4.4e-21 1.9e-12 0.3 96 3.3 2.4e-10 9.7e-37 
546436 1383928 300 1.4e-63  1e-34 6.9e-23 1.2e-13 0.12 95 5.3 7.9e-10 4.5e-36 
